epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,7960.64,1.20492,2.32121,1.23801,0.00948,0.932,0.68963,0.58117,0.64132,0.43042,0.63348,0.51981,0.53165,0.29478,1.29573,2.25785,1.41896,0.01474,0,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
47,8133.17,1.20006,2.27298,1.21545,0.0096,0.91587,0.64791,0.63072,0.64638,0.43512,0.59122,0.54374,0.5196,0.29128,1.27948,2.31996,1.35281,0.0144,0,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
48,8305.99,1.21806,2.33067,1.22057,0.00956,0.906,0.6856,0.56339,0.63712,0.42174,0.61513,0.49068,0.50048,0.27455,1.29927,2.30435,1.4925,0.0151,0,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245
49,8478.48,1.21241,2.31263,1.23287,0.00979,0.91289,0.67511,0.58739,0.64624,0.43976,0.63324,0.5215,0.52381,0.28984,1.25539,2.35587,1.38129,0.01446,0,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
50,8651.68,1.21363,2.27328,1.20946,0.00932,0.89452,0.68196,0.60754,0.6531,0.4444,0.5998,0.54963,0.51824,0.28802,1.27277,2.34396,1.35806,0.01462,0,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251
51,8823.8,1.18641,2.25495,1.18904,0.00945,0.88259,0.66484,0.6017,0.65132,0.43701,0.59705,0.53251,0.5191,0.28619,1.24919,2.24247,1.38008,0.01433,0,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
52,8996.53,1.20644,2.28942,1.20727,0.00951,0.89706,0.69003,0.58539,0.6475,0.44389,0.58778,0.53592,0.52549,0.28343,1.26529,2.31452,1.37171,0.01433,0,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
53,9169.16,1.19945,2.24855,1.19727,0.0093,0.88198,0.69062,0.61093,0.6594,0.44153,0.61583,0.54556,0.53739,0.28781,1.26287,2.27126,1.38488,0.01436,0,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
54,9341.68,1.18525,2.24566,1.17703,0.00953,0.864,0.64396,0.60288,0.64263,0.442,0.57591,0.53883,0.52297,0.28385,1.24299,2.23321,1.38238,0.01391,0,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697
55,9514.24,1.18796,2.25102,1.18417,0.0093,0.88179,0.66159,0.60904,0.64581,0.4383,0.62406,0.53419,0.52998,0.29148,1.25938,2.31996,1.40942,0.01433,0,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
56,9686.77,1.17678,2.23743,1.16293,0.0092,0.85323,0.64995,0.62217,0.65322,0.45059,0.61076,0.54531,0.52929,0.29372,1.26113,2.23962,1.37067,0.01422,0,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142
57,9859.45,1.2004,2.23654,1.18137,0.00924,0.85128,0.64968,0.62237,0.6434,0.44153,0.57181,0.54557,0.51209,0.28173,1.26645,2.32677,1.40122,0.01415,0,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
58,10031.6,1.17322,2.20307,1.15588,0.00914,0.82097,0.67281,0.62331,0.65393,0.44753,0.59343,0.53502,0.5179,0.29085,1.22132,2.26199,1.36869,0.01357,0,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
59,10204.2,1.17969,2.23749,1.16213,0.00924,0.84511,0.66658,0.61594,0.65876,0.44399,0.60833,0.55824,0.55486,0.30382,1.27145,2.32575,1.35387,0.0144,0,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
60,10377,1.17071,2.20918,1.16431,0.00927,0.83942,0.69388,0.59257,0.64406,0.43718,0.63234,0.53835,0.53325,0.29556,1.26458,2.29784,1.36832,0.01435,0,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488
61,10549.9,1.17726,2.18718,1.14914,0.00911,0.82242,0.65595,0.61291,0.64701,0.44284,0.61039,0.54414,0.52948,0.29469,1.26743,2.35957,1.34526,0.01429,0,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
62,10722.4,1.17125,2.20627,1.13982,0.009,0.82743,0.70936,0.60441,0.66025,0.44611,0.65678,0.536,0.54607,0.29745,1.2507,2.29591,1.34376,0.01415,0,0.0270718,0.00902395,0.0270718,0.00902395,0.0270718,0.00902395,0.0270718,0.00902395
63,10894.2,1.1729,2.20715,1.15107,0.00921,0.84968,0.69913,0.585,0.65229,0.45353,0.62909,0.52695,0.54469,0.30181,1.22367,2.24996,1.3489,0.01338,0,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
64,11066.6,1.16254,2.18417,1.12905,0.009,0.79537,0.6796,0.60648,0.65648,0.45163,0.62762,0.54011,0.54737,0.30387,1.20705,2.24834,1.36352,0.01304,0,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
65,11240.1,1.17105,2.1833,1.13332,0.00897,0.80369,0.67491,0.61024,0.65991,0.46536,0.62649,0.55128,0.54416,0.30433,1.23758,2.22129,1.33528,0.0134,0,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
66,11413.3,1.16493,2.2044,1.1357,0.00905,0.80434,0.68595,0.60648,0.66444,0.45989,0.60704,0.54195,0.5317,0.29656,1.24565,2.24978,1.30616,0.0138,0,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687
67,11586.6,1.16005,2.18089,1.12704,0.00892,0.80445,0.67001,0.64035,0.6702,0.46654,0.60518,0.55256,0.54014,0.29056,1.22723,2.41514,1.29925,0.01364,0,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
68,11760,1.16699,2.19052,1.13096,0.00899,0.80876,0.69733,0.62558,0.67385,0.46952,0.62193,0.56122,0.54237,0.30398,1.2305,2.27829,1.26721,0.01364,0,0.0264924,0.00883079,0.0264924,0.00883079,0.0264924,0.00883079,0.0264924,0.00883079
69,11932.8,1.14733,2.14131,1.11009,0.00879,0.80059,0.69992,0.62096,0.66644,0.4655,0.62674,0.54152,0.53807,0.30266,1.2217,2.24722,1.27211,0.01351,0,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
70,12105.3,1.15175,2.12424,1.10572,0.00887,0.7837,0.70742,0.59043,0.66678,0.47057,0.61992,0.54293,0.53645,0.29739,1.21678,2.32375,1.30774,0.01342,0,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
71,12278.2,1.14226,2.13361,1.08128,0.00874,0.77013,0.70356,0.60156,0.65955,0.45978,0.63649,0.55783,0.55527,0.31232,1.2084,2.2619,1.30437,0.0135,0,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
72,12450.8,1.15637,2.13452,1.10607,0.00871,0.77783,0.67898,0.62981,0.67174,0.47151,0.60874,0.57814,0.55603,0.31514,1.21977,2.24728,1.30078,0.01351,0,0.026081,0.00869368,0.026081,0.00869368,0.026081,0.00869368,0.026081,0.00869368
73,12623,1.13835,2.12158,1.08952,0.00874,0.7748,0.70651,0.59546,0.66174,0.46526,0.6176,0.53999,0.53908,0.30682,1.20037,2.20724,1.29172,0.01333,0,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
74,12795.7,1.14039,2.14213,1.09059,0.00884,0.75619,0.71686,0.60629,0.66932,0.46915,0.6496,0.54827,0.54683,0.31034,1.20505,2.25431,1.28772,0.01334,0,0.0258681,0.00862271,0.0258681,0.00862271,0.0258681,0.00862271,0.0258681,0.00862271
75,12968.5,1.14498,2.11696,1.08531,0.00873,0.76155,0.69703,0.59694,0.65685,0.46354,0.62615,0.53756,0.54167,0.31216,1.19101,2.27499,1.32038,0.01308,0,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
76,13140.7,1.13913,2.12033,1.08918,0.00871,0.77335,0.66614,0.62903,0.67486,0.47002,0.62132,0.56418,0.55947,0.31584,1.20798,2.27505,1.27734,0.01324,0,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
77,13314,1.15714,2.13291,1.10291,0.0087,0.78127,0.68903,0.62261,0.66898,0.46439,0.65553,0.54861,0.56643,0.32448,1.2359,2.21577,1.29868,0.01364,0,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
78,13487.1,1.14765,2.10969,1.07632,0.00877,0.75919,0.68575,0.63271,0.67776,0.47426,0.65955,0.53728,0.55405,0.3101,1.21998,2.34426,1.30429,0.01353,0,0.0254283,0.00847611,0.0254283,0.00847611,0.0254283,0.00847611,0.0254283,0.00847611
79,13659.8,1.13397,2.10229,1.06686,0.00857,0.74039,0.69838,0.61214,0.66524,0.46936,0.62591,0.54314,0.54323,0.31262,1.206,2.2771,1.30278,0.0132,0,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
80,13832.3,1.13322,2.1333,1.0848,0.00876,0.77738,0.68218,0.63121,0.66777,0.4676,0.62411,0.57562,0.55838,0.3193,1.21006,2.27213,1.31024,0.01311,0,0.0252016,0.00840054,0.0252016,0.00840054,0.0252016,0.00840054,0.0252016,0.00840054
81,14005.3,1.13987,2.07252,1.06424,0.00825,0.73,0.68435,0.64048,0.67349,0.47581,0.61965,0.56487,0.54968,0.31878,1.20532,2.25158,1.28084,0.01342,0,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
