epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2932.73,1.28398,2.41761,1.27885,0.00896,1.0567,0.67414,0.62361,0.66448,0.43851,0.62008,0.56431,0.55932,0.31432,1.29337,2.41636,1.33687,0.01423,0,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145
33,3023.29,1.29346,2.38839,1.26493,0.00885,1.03886,0.68255,0.61147,0.65389,0.43487,0.64465,0.55056,0.56907,0.3184,1.31245,2.32221,1.36938,0.01479,0,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
34,3113.63,1.27848,2.39438,1.26192,0.00879,1.01377,0.67717,0.6047,0.66195,0.44192,0.62234,0.56393,0.57072,0.32587,1.2871,2.34236,1.33856,0.014,0,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
35,3204.21,1.28603,2.36714,1.26274,0.00874,1.03401,0.72654,0.59214,0.66086,0.44458,0.66942,0.52779,0.55278,0.32118,1.29115,2.45378,1.35311,0.01433,0,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
36,3295.03,1.2834,2.40048,1.25083,0.00867,1.02069,0.67231,0.59909,0.64531,0.43365,0.59206,0.55613,0.53193,0.30111,1.31104,2.49741,1.41026,0.0144,0,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
37,3386.17,1.30201,2.40246,1.28007,0.00892,1.03979,0.67445,0.61322,0.64872,0.43555,0.64353,0.57208,0.5754,0.31911,1.28033,2.37493,1.4131,0.01418,0,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
38,3477.04,1.26769,2.35128,1.24482,0.00861,1.00612,0.74177,0.57991,0.64848,0.44242,0.669,0.52515,0.5342,0.30306,1.2832,2.40797,1.41773,0.01404,0,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306
39,3567.81,1.28627,2.36395,1.24378,0.00863,0.98737,0.68575,0.62397,0.66621,0.44881,0.65421,0.56166,0.56623,0.32344,1.28612,2.39647,1.32061,0.01426,0,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
40,3658.29,1.28783,2.37627,1.25857,0.00878,1.00887,0.68973,0.62802,0.6669,0.44454,0.62123,0.58719,0.56432,0.32046,1.28333,2.362,1.33129,0.01415,0,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
41,3748.85,1.29693,2.39947,1.2646,0.00887,1.02382,0.65264,0.63295,0.6602,0.4429,0.61986,0.57506,0.56902,0.32292,1.29174,2.31585,1.35642,0.0141,0,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
42,3839.66,1.27445,2.34497,1.2434,0.0086,0.98899,0.69311,0.62202,0.66676,0.45265,0.64643,0.58051,0.58076,0.34472,1.2633,2.34937,1.32227,0.01394,0,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072
43,3930.35,1.26156,2.33552,1.24009,0.00863,1.0046,0.69711,0.61685,0.6658,0.45332,0.6215,0.55536,0.55478,0.31892,1.27564,2.33685,1.35831,0.01389,0,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
44,4020.88,1.26811,2.3258,1.2194,0.00854,0.98119,0.70694,0.5951,0.65558,0.44199,0.64751,0.5455,0.54893,0.31796,1.28043,2.28672,1.34489,0.0142,0,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658
45,4111.15,1.25431,2.29995,1.21039,0.00857,0.95349,0.70302,0.60807,0.66467,0.44112,0.63588,0.52764,0.53261,0.30311,1.29661,2.34872,1.33054,0.01434,0,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
46,4201.02,1.27617,2.3665,1.2327,0.00865,0.9861,0.66169,0.65158,0.66845,0.44906,0.60605,0.58074,0.55056,0.32032,1.23635,2.44717,1.34827,0.01354,0,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
47,4291.33,1.2615,2.3146,1.22996,0.00869,0.98566,0.70875,0.62807,0.68162,0.45148,0.64353,0.57025,0.56947,0.32396,1.26891,2.35157,1.35858,0.01382,0,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
48,4381.96,1.27495,2.31943,1.23065,0.00853,0.96146,0.68775,0.59402,0.65846,0.44394,0.66208,0.54558,0.56903,0.32477,1.28294,2.36349,1.35097,0.01388,0,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245
49,4472.34,1.2814,2.35175,1.23386,0.0087,0.9877,0.6945,0.61487,0.671,0.45718,0.6281,0.5486,0.5629,0.31693,1.24131,2.35537,1.3075,0.01317,0,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
50,4563.19,1.2569,2.32961,1.22031,0.00866,0.96256,0.73318,0.6166,0.67272,0.4578,0.67138,0.55318,0.56669,0.32935,1.25654,2.36902,1.33315,0.01368,0,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251
51,4654.31,1.27111,2.33387,1.22799,0.00852,1.0047,0.68122,0.61108,0.66424,0.44761,0.63072,0.54888,0.55827,0.30909,1.23925,2.3023,1.37455,0.01371,0,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
52,4745.54,1.25926,2.2994,1.2049,0.00838,0.94476,0.71762,0.61842,0.6787,0.46137,0.66265,0.559,0.56841,0.32356,1.23063,2.36682,1.34163,0.01319,0,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
53,4836.47,1.25793,2.31524,1.21279,0.00856,0.94935,0.66852,0.64597,0.66564,0.45005,0.62006,0.59068,0.57207,0.32409,1.25818,2.37521,1.31,0.01378,0,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
54,4926.93,1.27017,2.30695,1.22076,0.00852,0.96703,0.70477,0.62224,0.67516,0.45536,0.65591,0.5544,0.56143,0.32028,1.25336,2.35591,1.31896,0.01377,0,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697
