epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
93,2802.59,1.16923,2.00927,1.08126,0.00753,0.76112,0.64235,0.59526,0.62029,0.41379,0.59879,0.53869,0.51503,0.27572,1.3544,2.46098,1.44226,0.01474,0,0.00128742,0.00128742,0.00128742
94,2832.01,1.20365,2.00745,1.09768,0.00748,0.77258,0.67188,0.56142,0.63037,0.41097,0.59502,0.50414,0.50078,0.26772,1.35249,2.48757,1.44179,0.01418,0,0.0012833,0.0012833,0.0012833
95,2861.54,1.19212,1.98942,1.08894,0.00764,0.75614,0.64835,0.58171,0.6091,0.40514,0.57718,0.53514,0.49967,0.27158,1.32674,2.39811,1.45912,0.01436,0,0.00127917,0.00127917,0.00127917
96,2891.28,1.18568,1.94814,1.08306,0.00754,0.738,0.64544,0.58161,0.62375,0.39796,0.5704,0.56481,0.52852,0.29134,1.38804,2.41086,1.42444,0.01479,0,0.00127505,0.00127505,0.00127505
97,2920.84,1.16176,1.97054,1.07785,0.00782,0.74809,0.65867,0.57536,0.61871,0.40236,0.58416,0.51772,0.50292,0.27461,1.35854,2.48418,1.42125,0.01443,0,0.00127092,0.00127092,0.00127092
98,2950.23,1.16235,2.02638,1.08242,0.00761,0.73562,0.6589,0.61507,0.61798,0.40655,0.56567,0.55771,0.49629,0.2718,1.36864,2.44674,1.46476,0.01438,0,0.00126679,0.00126679,0.00126679
99,2979.12,1.16528,1.95436,1.07961,0.00766,0.76408,0.64871,0.59581,0.61429,0.39886,0.5984,0.55236,0.51952,0.27007,1.36978,2.4931,1.46071,0.01545,0,0.00126267,0.00126267,0.00126267
100,3008.63,1.17974,1.92036,1.06463,0.00753,0.74761,0.64995,0.59064,0.60511,0.3878,0.60305,0.54794,0.50922,0.27752,1.42561,2.53026,1.48883,0.01537,0,0.00125854,0.00125854,0.00125854
101,3037.22,1.17676,1.9139,1.07248,0.00785,0.77359,0.63587,0.54867,0.57522,0.3656,0.55484,0.48893,0.46424,0.25001,1.41775,2.59771,1.77054,0.01547,0,0.00125442,0.00125442,0.00125442
102,3066.83,1.16972,1.91078,1.06502,0.00729,0.74506,0.67634,0.58686,0.61851,0.41278,0.61759,0.52885,0.51209,0.28207,1.37003,2.41242,1.42138,0.0147,0,0.00125029,0.00125029,0.00125029
103,3096.35,1.14916,1.93686,1.04552,0.00736,0.72791,0.69794,0.59045,0.63696,0.42155,0.64179,0.54287,0.5474,0.29147,1.37358,2.45529,1.39445,0.01477,0,0.00124617,0.00124617,0.00124617
